SITE_CURRENCY,$
LOCAL_FILES_INVOLVED_IN_THIS_U,Bu gÅncelle?tirme kat?lan Yerel dosyalar
CHANGING_THE_REALNAME_AUTHENTI,Geráek ad? kimlik do?rulama bilgi ak???n? de?i?tirme:
YOUR_ACCOUNT_HAS_BEEN_BOUND_AL,Hesab?n?z Alipay ba?lanm??t?r.
YOUR_ACCOUNT_HAS_BEEN_ENABLED_,Hesab?n?z telefonla do?rulama etkinle?tirilmi? olmas?
YOU_HAVE_RUN_OUT_OF_OPPORTUNIT,Sen f?rsatlar bugÅn piyango tÅkenmi?
THE_BACKUP_IS_COMPLETE_CLICK_O,"Yedekleme tamamland???nda, tekrar yedekleme t?klay?n"
_UNABLE_TO_ENTER_THE_NEXT_STEP,. Bir sonraki ad?ma girilemiyor. lÅtfen en
_SET_TO_THE_MAXIMUM_NUMBER_OF_,", Sat?n alma maksimum say?da ayarlay?n"
FOR_SEQUENTIALLY_DISPLAYING_TH,?áin (s?rayla paket gîrÅntÅlendi?i)
USERNAME_NO_CONTENT,Ad? Hiábir iáerik
NO_IMAGE_TO_DISPLAY_THE_DEFAUL,Resim yok varsay?lan resmi gîrÅntÅlemek iáin
ADD_AN_EVENT_SUCCESSFUL_RESPON,Bir olay ba?ar?l? yan?t dosyas? ekleyin
LOAD_FAILED_LOAD_PICTURE_REMOV,YÅk ba?ar?s?z YÅk resim kald?r?ld?
ADDING_ATTRIBUTES_TO_ACHIEVE_M,îzelliklerini ekleme áok fonksiyonlu haritas?n? elde etmek iáin
ENTER_THE_TRANSACTION_PASSWORD,Fon ?ifre girin ve onaylay?n
PROCESSING_IMAGE_UPLOAD_ADDRES,??leme resim yÅkleme adresi
ENGLISH_CONTACT_NAME_CHART,?ngiliz Ki?i Ad? ?emas?
LOGIN_FORM_GETS_FOCUS_DISCOLOR,Oturum formu odak renk al?r
INSIDE_THE_ACTUAL_USER_ACCOUNT,geráek kullan?c? hesap bakiyeleri ?áinde
REMOVE_THE_PRINCIPAL_TO_PAY_IN,pe?in îdeme iáin mÅdÅrÅnÅ kald?r
CONFIRM_THE_NUMBER_OF_ROLLOUT_,Onay Cayma say?s? tamamlanmas? gerekir
BATCH_DELETE_UNRECOVERABLE_DED,Toplu silme kurtar?lamayan kesinti
DO_NOT_SET_TOO_LARGE_FOR_SAFET,gÅvenli?i iáin áok bÅyÅk belirlemeyin
PLEASE_DO_NOT_MODIFY_DURING_OP,Äal??ma s?ras?nda de?i?tirmek etmeyiniz
PLEASE_ENTER_YOUR_USER_NAME_OR,Kullan?c? ad? veya telefon numaras? girin
PLEASE_ENTER_THE_CORRECT_BANK_,Do?ru banka hesab?n? girin
COLOR_TABLE_FORM_GETS_FOCUS,Renk tablosu form oda?? al?r
LOG_IN_TO_CHECK_IMMEDIATELY_PR,?imdi kontrol etmek iáin giri? yap?n
LOG_DISPLAY_DUAL_AUTHENTICATIO,Giri? ekran? ikili kimlik do?rulama kodu
IPS_TOPORDER_DETAILS,öst sipari? ayr?nt?lar?n? IPS
SCRIPT_IS_LOADING_PLEASE_WAIT,"Senaryo yÅkleniyor, lÅtfen bekleyin"
ORDERS_MERCHANT_PAYMENT_INTERF,Sipari?ler tÅccar îdeme arayÅzÅ standard?
VIEW_ONLINE_CUSTOMER_SERVICE_T,gîrÅnÅm ÅrÅne online mÅ?teri hizmetleri gîrÅntÅle
THE_UPDATED_DATABASE_CHANGES,gÅncellenen veritaban? de?i?iklikleri
THE_UPDATED_DOCUMENT_INVOLVED,gÅncellenmi? belge dahil:
A_NEW_VERSION_OF_THE_SERVER_US,Sunucu kullan?c? ad? yeni bir sÅrÅmÅ
THE_PROPORTION_OF_FEE_IN_ADVAN,pe?in Åcret oran? esas almak
LABOR_DAY_HOLIDAY_ARRANGEMENTS,??ái Bayram? tatil dÅzenlemeleri bilgilendirmek
WORKING_HOURS_MONDAY_TO_SUNDAY,áal??ma saatleri: Pazartesi-Pazar
YOU_NEED_TO_USE_THE_TIME_TO_CA,Sen nakit iáin zaman kullanmak gerekir
BEFORE_YOU_INSTALL_THE_UPDATE_,"GÅncellemeyi yÅklemeden înce, lÅtfen"
OR_LIKELY_TO_CAUSE_CONFUSION_G,Ya muhtemel kar???kl?k notu neden
SELLER_USER_NAME_SELLER_FEES,Sat?c? kullan?c? ad? Sat?c? Åcretleri
LOAD_LOAD_PICTURE_REMOVED_SUCC,YÅk YÅk resim ba?ar?yla kald?r?ld?
CLOSE_ABOUT_US_ONLINE_CUSTOMER,Sanal MÅ?teri Hizmetleri Hakk?nda Yak?n
THE_WHOLE_STATION_IS_ONLY_A_RE,BÅtÅn istasyonu sadece îneri projedir
MARGIN_WALLET_HOT_AND_COLD_ISOL,"Kenar, cÅzdan, s?cak ve so?uk yal?t?m"
MEMBER_FOREGROUND_INTO_THE_ADD,adres para birimine Åye în plan
FROM_THE_TOP_OF_THE_APPLICATIO,Uygulaman?n ÅstÅnden polimerizasyonu aramalar?
BUYER_THE_BUYERS_NAME_FEE,"Al?c?, al?c?lar Åcreti isim"
PLEASE_ENTER_A_USER_NAME_CHANG,Bir kullan?c? ad? de?i?ikli?i giriniz
OTHERWISE_THE_FILE_CAN_NOT_BE_,"Aksi halde, dosya eklenemez"
DID_NOT_RECEIVE_RESEND,Almad?? Yeniden gînder
SCAN_THE_QR_CODE_TO_MAKE_TRANS,Tarama QR
YOU_NEED_TO_UPGRADE_THE_CURREN,Sen gÅncel sÅrÅmÅnÅ yÅkseltmeniz gerekir
WE_WILL_RECEIVE_THE_MONEY,Biz îdeme onay? 24 saat iáinde ?arj iste?i i?lemek.
ACCOUNT_NAME_ACCOUNT_ADDRESS,?sim Hesap Adresi Hesap:
OFFICIAL_WEBSITE_ALIPAY_ACCOUN,Alipay Hesab?
CLICK_HERE_TO_SEND_ME_A_MESSAG,bana bir mesaj gîndermek iáin buraya t?klay?n
ADD_A_NEW_ADDRESS_TO_CASH,#NAME?
LESS_THAN_THIS_NUMBER_AUTOMATI,Bu numaraya otomatik olarak Äekilme KÅáÅktÅr
RECHARGE_AMOUNT_OF_OFFLINE_BON,áevrimd??? bonus Yeniden tahsilat tutar?
THIS_NUMBER_IS_GREATER_THAN_TH,Bu say? arka plan gîzden bÅyÅktÅr
A_PLURALITY_OF_SEPARATED_BY_CO,virgÅl ile ayr?lm?? bir áok say?da
PRELOADED_NONTRADABLE,ticarete konu olmayan ônceden yÅklenmi?
HOME_SHOWS_THE_CUMULATIVE_TURN,Frontend'de Åzerinde toplam ciro Display
AFTER_ENTERING_THE_SUCCESSFUL_,Ba?ar?l? ?arj emir girdikten sonra
PLEASE_INPUT_CORRECT_PASSWORD_,LÅtfen giri? do?ru ?ifre
PLEASE_LOGIN_PASSWORD_REGULARL,LÅtfen gÅncelleme giri? ?ifresi dÅzenli
PLEASE_UPDATE_YOUR_PASSWORD_RE,?ifrenizi dÅzenli olarak gÅncelleyin
CHECK_USER_REGISTRATION_AGREEM,Kontrol Kullan?c? Kayd? Sîzle?mesi
WARNING_DO_NOT_NEED_TO_DELETE,Uyar?: Do not silmeniz gerekir
APPLICATION_FOCUSING_BLOCK_CHA,Uygulama odaklama blok zincirleri
EDIT_YUAN_RECHARGE_MODE,DÅzenleme yuan ?arj modu
DRAW_FIBONACCI_RETRACEMENT,Fibonacci dÅzeltme áizin
WANT_TO_EMPTY_DATA,Verileri bo?altmak ister misiniz?
THE_CHINESE_DIFFICULT_TO_READ_,"Äinli zor bu yÅzden, okumak"
ADD_THE_YUAN_RECHARGE_MODE,yuan ?arj modunu ekle
SIGN_INTO_THE_ADDRESS_FROM_WHI,mevduat yap?lm?? olan Adres
DOCUMENTS_RELATED_TO_THIS_UPDA,Bu gÅncelle?tirme ile ilgili belgeler
THE_LATEST_HOTTEST_TOPIC_OF_DI,tart??ma son s?cak konu
EVENING_DOWNTIME_UPGRADE_ANNOU,Ak?am Kesinti YÅkseltme Duyuru
FILENAME_INTEGER_SUCH_AS_FILLI,"Dosya ad? tamsay?d?r, îrne?in dolgu maddesi olarak"
SCAN_DIRECT_ACCESS_TO_THE_PHON,Telefon sÅrÅmÅne Tarama do?rudan eri?im
YOUR_EXCLUSIVE_PROMOTION_OF_TW,Ortakl?k Ba?lant? QR Code
YOU_CAN_RECORD_KEY,Anahtar? kaydedebilir
YOU_DO_NOT_HAVE_THE_OPPORTUNIT,BugÅn áizmek iáin f?rsat yok
MULTIFACETED_UNDERSTANDING_OF_,sanayi dinamiklerinin áok yînlÅ anlay??
BACKUP_FILE_LOCATION,Yedekleme dosyas? konumu:
FILL_REASON_DID_NOT_PASS_CERTI,belgelendirme geáemedi Dolgu nedeni
BASED_ON_THE_LATEST_MAJOR_BROW,En son bÅyÅk taray?c?larda dayanarak
CAPTCHA_CODE_CAN_NOT_BE_EMPTY,Captcha kodu bo? olamaz
ALLOWING_ONLY_SELECT_A_PICTURE,Sadece bir resim dosyas? seáin izin
TODAY_THE_BIGGEST_SELLING_TRAD,Maksimum sat?? fiyat?
TODAY_THE_MINIMUM_PURCHASE_PRI,Min al?? fiyat?
USD_RECHARGE_MODE_LIST,?arj Yîntemleri
STRICT_PROJECT_ACCESS_THRESHOL,S?k? proje eri?im e?i?i
DOWNLOAD_THE_FILE_LOCATION,dosya konumunu ?ndir
THE_DOWNLOAD_IS_COMPLETE_COMPA,"?ndirme tamamland???nda, dosya kar??la?t?rmak"
ANNOUNCEMENT_CURRENCY_LONG_NET,[Duyuru] para cinsinden uzun a? yÅkseltme
BELONGING_TO_THE_PREVIOUS_MENU,(ônceki menÅye Aidiyet)
PLEASE_ENTER_THE_VERIFICATION_,do?rulama kodu SMS giriniz
THE_CURRENT_SYSTEM_VERSION_NUM,Mevcut sistem sÅrÅm numaras?
THE_PAGE_IS_ABOUT_TO_AUTOMATIC,sayfa otomatik olarak atlama Åzeredir
PLEASE_ENTER_THE_CAPTCHA_CODE,Captcha kodunu giriniz
I_UNDERSTAND_THESE_RISKS,anl?yorum
DETERMINE_IN_ADVANCE_THE_PRINC,as?l îzÅ înceden belirleme
USERS_TO_SWITCH_FROM_SITE,Kullan?c?lar siteden geámek iáin
CONFIGURATION_MODULE_VERIFICAT,2FA ModÅlÅ Yap?land?rma:
THE_VALUE_OF_EACH_SCROLL_NUMBE,Her bir kayd?rma say?s?n?n de?eri
USERS_TURN_TO_THE_SITE,Kullan?c?lar siteye áevirmek
CLICK_TO_VIEW_THE_PROMOTION_AW,GîrÅnÅm Benim ôdÅller
ADD_A_WALLET_ADDRESS,Bir cÅzdan adresi ekleyin
ADD_A_CONTACT_ADDRESS,Bir ileti?im adresi ekleyin
NEW_CURRENCY_INOPERABLE,Yeni para birimi ameliyat edilemez
A_LIST_OF_NAMES_TO_CASH_WITHDR,para áekme i?lemi isim listesi
MEMBERS_OF_THE_AUTHORIZED_EDIT,yetkili dÅzenleme sayfas?n?n Åyeleri
THE_CURRENT_SIZE_OF_THE_DATA_C,veri înbelle?i geáerli boyutu
IF_YOU_WANT_TO_CHARGE_A_FEE,E?er bir Åcret istiyorsan?z
NATIONAL_TOLL_FREE,Ulusal öcretsiz
TRANSACTION_PASSWORD_INPUT_SET,Fon ?ifre Gereksinimi ayarlar?
DO_NOT_FILL_NOT_DISPLAYED_BY_D,varsay?lan olarak gîrÅntÅlenmez dolgu etmeyin
A_KEY_TO_CHECK_ALL_WALLET,TÅm cÅzdan kontrol etmek bir anahtar
PAGE_CLOSE_THE_SITE,"Sayfa, siteyi kapat?n."
YOU_NEED_TO_ENTER_A_PASSWORD,Bir ?ifre girmeniz gerekir
TO_RETURN_TO_AUTOMATIC_UPGRADE,Otomatik yÅkseltme Evde dînmek iáin
ENTER_A_PASSWORD_LOCK_SCREEN,Bir ?ifre kilit ekran? Enter
PLEASE_ENTER_YOUR_OLD_PASSWORD,Eski ?ifre i?lemi giriniz
PLEASE_ENTER_A_NEW_PASSWORD,Yeni bir ?ifre giriniz
PLEASE_ENTER_A_NEW_PHONE_NUMBE,Yeni bir telefon numaras? giriniz
PLEASE_ENTER_A_NEW_TRANSACTION,Yeni bir Fon Parola giriniz
PLEASE_ENTER_ALIPAY_ACCOUNT,Alipay hesab?n? girin
CERTIFICATE_TYPE,Sertifika TÅrÅ:
ICO_PAGE_RISK_WARNING,ICO sayfa Risk Uyar?s?
ORDERS_TO_PAY_ENCRYPTION,îdeme ?ifreleme Sipari?leri
RULES_ARE_AUTOMATICALLY_UPGRAD,Kurallar otomatik terfi ederler
DRAW_FIBONACCI_EXTENSION,Fibonacci uzant?s?n? áizin
ACCUMULATIVE_ROLLOUT_OF_DIGITA,Madeni paralar toplam áekme
THE_CUMULATIVE_TRANSFER_OF_DIG,Coins toplam transferi
NOW_GO_TO_WITHDRAW_IMMEDIATELY,?imdi hemen geri áek Git
ENSURE_USER_SECURITY_FUNDS,Kullan?c? gÅvenlik fonlar? olun
PLATFORM_TO_ENSURE_THE_INTERES,Platform kullan?c?lar?n?n á?karlar?n? sa?lamak iáin
USERS_GET_AFTER_PURCHASE,Kullan?c?lar sat?n ald?ktan sonra olsun
USER_NAME_USER_COMMUNICATION,Kullan?c? Ad? kullan?c? ileti?imi
CLICK_HERE_TO_VIEW_CLICK_SETTI,T?klay?n Ayarlar? gîrmek iáin buraya t?klay?n
SUCCESSFUL_ACTIVATION_MAY_BE_L,Ba?ar?l? aktivasyon bÅyÅk olabilir
ADDING_A_BANK_ADDRESS,banka adresi ekleme
ADD_A_WITHDRAWAL_ADDRESS,Bir geri áekilme adresi ekleyin
THE_MINIMUM_AMOUNT_FOR_EACH_PU,Minimum tutar sat?n alma
THE_MAXIMUM_NUMBER_FOR_EACH_PU,Her sat?n alma iáin maksimum say?
DAILY_DEAL_END_TIME,GÅnlÅk F?rsat Biti? Zaman?
DAILY_TRADING_START_TIME,GÅnlÅk Ticaret Ba?lang?á ??Zaman?
SENDING_BACKUP_REQUEST,Yedek iste?i gînderme
FORMAT_SIZE_DOES_NOT_EXCEED,"Biáim, boyut geámemelidir"
STYLE_CLASS_NAME_COLUMN_NAME,Stil s?n?f ad? SÅtun Ad?
UPDATE_FILE_LOCATION,GÅncelleme dosyas? yeri
FILE_RECEIVING_SERVER,sunucudan al?c? Dosya.
RECORD_NUMBERS_WITHDRAW_ASSETS,Tutanak say?lar varl?klar?n? sîndÅrmeden
DIGITAL_ASSETS_INTO_RECORD,kay?t iáine Dijital varl?klar?
DIGITAL_REPRESENTATIVES_OF_SEV,di?er baz? îdÅllerin Dijital temsilcileri
BUS_KEEP_THE_LINKS_IN_THE,OtobÅs: ba?lant?lar? tutun
MASTER_ALL_KINDS_OF_EVENT_INFO,Olay her tÅrlÅ bilgi Usta
SWEEPSTAKES_HAS_ENDED,Äekili?ler sona erdi
A_LIST_OF_PUBLIC_INVESTMENT_ST,kamu yat?r?m tarz? bir listesi
TECHNICAL_INDICATORS_PARAMETER,ayarlar?nda parametre Teknik gîstergeler
SCAN_ATTENTION_OFFICIAL_MICRO_,Tarama dikkat resmi mikro mektup
LIST_OF_USER_GROUPS_BELONG,kullan?c? gruplar?n?n listesi aittir
MICROCHANNEL_PUBLIC_NUMBER_TWO,Mikro kanal halka say?s? iki boyutlu kod
THE_LATEST_VERSION_OF_THE_CURR,Geáerli uzaktan son sÅrÅmÅ
THE_CURRENT_ICO_HAS_E,Geáerli ICO sona erdi
CURRENT_NUMBER_OF_DIGITAL_ASSE,Denge
MENU_ON_THE_LEFT_SHOW_HIDE,Sol gîsteri postun Åzerinde MenÅsÅ
OFFICIAL_WEBSITE_RECEIVING_BAN,Resmi web sitesi al?c? banka hesab?
BACKUP_FILE_STORAGE_LOCATION,Yedekleme dosya depolama yeri
TYRANT_CREDITS_LINE_STYLE_FIG,"Tyrant kredi, áizgi stili ?ekil."
STATISTICS_ONLY_PART_OF_THE_RE,renminbi'nin ?statistik sadece bir paráas?
THE_ORIGINAL_FILE_LOCATION,Orijinal dosya yeri
INTEREST_GIFT_TO_WHICH_CURRENC,Faiz hediye hangi para birimi iáin
CATEGORY_AUTHORIZED_TO_EDIT_PA,Kategori dÅzenleme sayfas?nda yetkisi
ENTER_THE_NEW_PASSWORD_AGAIN,Yeni ?ifreyi tekrar girin:
GLOBAL_FONT_COLOR_SETTING,KÅresel font color ayar?
SAVE_TRANSACTION_PASSWORD_SETT,Kaydet Fonu ?ifre ayarlar?
THE_ABOVE_INFORMATION_IS,Yukar?daki bilgiler
ONLY_DEVELOPER_MODE_DISPLAY,Sadece geli?tirici modu ekran?
DEVELOPER_MODE_ONLY_VISIBLE,Geli?tirici modu sadece gîrÅnÅr
TRADING_ENCRYPTION_RETURN,Ticaret ?ifreleme dînÅ?
UNDER_INHERIT_FONT_SIZE,devral?r font boyutu Alt?nda
ADDED_TIME_AFTER_THE_FIRST,Olded ?lk
ALL CATEGORIES,TÅm Kategoriler
To make purchases you are one click away,markas? al?mlar?n?n iáin tek bir t?klama uzakta olan
ADDED_TIME_FROM_THE_FIRST_TO_T,En yeni ilk
A_LINE_IMAGE_LINK,Bir áizgi resim ba?lant?s?
MENU_DETAIL,(MenÅ detay)
PLEASE_ENTER_YOUR_QUERY,Sorgunuzla giriniz
PLEASE_ENTER_THE_PHONE_NUMBER,Mobile de?erini girin
HIDDEN_UNDER_THE_PICTURE_TO,iáin resmin alt?nda gizli.
FOR_THIS_USE_CASE_ONLY,bu kullan?m ?eklini sadece
SEND_SMS_VERIFICATION_CODE,Gînder SMS kodu
PLEASE_ENTER_YOUR_PASSWORD,Parolan? Gir
CLICK_TO_SEND_A_VERIFICATION_C,Bir do?rulama kodu gîndermek iáin t?klay?n
THE_METHOD_TO_BE_EXECUTED,yîntem yÅrÅtÅlecek
PLEASE_ENTER_THE_CONFIRMATION_,Onay kodunu giriniz
ENTER_A_NAME_REMARKS,Bir isim Notlar girin
OFFICIAL_FEES_ADDRESS,Resmi Åcretleri Adres
USERNAME_ANY_NUMBER,herhangi bir say?da Kullan?c? ad?
THE_NUMBER_OF_INVITED_RANKINGS,davet s?ralamas?nda say?s?
PLEASE_ENTER_IDENTIFICATION_NU,kimlik numaras?n? girin
THE_CLASSIFICATION_NO_DATA,Kay?t yok
JUMP_IN_THE_OPERATION_WAS_SUCC,operasyonda Atlama ba?ar?l? oldu
THE_MINIMUM_SELLING_PRICE_OF_T,??lemin asgari sat?? fiyat?
THE_MAXIMUM_SELLING_PRICE_OF_T,??lemin azami sat?? fiyat?
SELL_??AT_THIS_PRICE,Bu fiyata sat
BUY_AT_THIS_PRICE,Bu fiyata sat?n
THE_MINIMUM_PURCHASE_PRICE_OF_,??lemin asgari al?? fiyat?
THE_MAXIMUM_PURCHASE_PRICE_OF_,??lemin maksimum al?? fiyat?
WALLET_SERVER_PORT,CÅzdan sunucusu ba?lant? noktas?
WALLET_SERVER_PASSWORD,CÅzdan sunucusu ?ifre
REEDIT_THIS_CURRENCY,Bu para yeniden dÅzenleyin
OUT_OF_PROPORTION_FEE,oran Åcretinin Out
THE_PROPORTION_OF_TRANSFER_FEE,transfer Åcretleri oran?
PLEASE_ENTER_THE_BANK_ACCOUNT_,banka hesap numaras?n? girin
PLEASE_ENTER_THE_WALLET_LOGO,cÅzdan logosunu giriniz
PLEASE_ENTER_THE_ADDRESS_WALLE,adres cÅzdan giriniz
PLEASE_ENTER_A_SELECT,Bir seáim giriniz
PLEASE_ENTER_THE_NUMBER_OF_ROL,Cayma say? giriniz
PLEASE_TYPE_YOUR_PHONE_NUMBER,Telefon numaran?z? girin
ENTER_ACCOUNT_BRANCH,Hesap ?ube girin
EXPRESSION_STORED_PATH,?fade saklanan yolu
CONTACT_THE_ADMINISTRATOR_TO_M,de?i?tirmek iáin yîneticisine ba?vurun
ASSIGNED_TO_THE_CONTROL,kontrole Atanan
NO_WALLET_SERVER,Ne cÅzdan sunucusu
WALLET_SERVER_INFORMATION,CÅzdan sunucu bilgisi
DATA_HAS_BEEN_LOADED,Veriler yÅklendikten
REFER_A_FRIEND_TO_GET_REWARD,îdÅl almak bir arkada??n?za tavsiye edin
PERFECT_CREDENTIALS,MÅkemmel kimlik bilgileri.
TO_FILL_THIS_OFFICE_CAN_BE,Bu ofisi doldurmak iáin olabilir
SINGLE_MINIMUM_TURNOVER,Tek minimum ciro
THE_SINGLE_LARGEST_TURNOVER,Tek bÅyÅk ciro
FRONTEND_TITLE_OF_THE_WINNING_TI,Kazanan zaman Frontend Ba?l???
HOME_THUMBNAIL_DISPLAY,Ekranda kÅáÅk resim Ev
PERMISSION_TO_REINITIALIZE,Yeniden initialize izni
REPEAT_TRANSACTION_PASSWORD,Fon ?ifre Tekrar:
ENTER_EMAIL_OR_CELL_PHONE,E-posta veya cep telefonunu girin
OUT_OF_A_TOTAL_FEE,toplam Åcretin Out
SKIP_THE_DATABASE_UPGRADE,veritaban? yÅkseltme atla
PLEASE_SELECT_THE_ROLLOUT_ADDR,Äekilme adresi seáin
PLEASE_SELECT_THE_TYPE_OF_DOCU,dokÅman tÅrÅnÅ seáiniz
PLEASE_SELECT_WITHDRAW_ADDRESS,adresini geri áek seáiniz
PLEASE_SELECT_THE_RECHARGE_AMO,?arj? miktar?n? seáiniz
PLEASE_SELECT_THE_RECHARGE_MOD,?arj modunu seáiniz
PLEASE_CHOOSE_A_PAYMENT_METHOD,Bir îdeme yîntemi seáin
ENTER_GOOGLE_PASSWORD,Google ?ifresini girin
PLEASE_ENTER_THE_CERTIFICATE_N,Sertifika numaras?n? giriniz
PLEASE_ENTER_THE_NUMBER_OF_SUB,ICO say?s?n? girin
PLEASE_ENTER_THE_NAME_OF_THE_M,menÅnÅn ad?n? giriniz
PLEASE_ENTER_A_CHAT,sohbet giriniz
PLEASE_ENTER_A_LOGIN_PASSWORD,GÅvenli bir ?ifre seáin
ENTER_THE_WITHDRAWAL_AMOUNT,áekilme tutar? girin
PLEASE_SIGN_IN_LOTTERY,piyango LÅtfen giri? yap?n
DRAW_FIBONACCI_SURFACE,Fibonacci yÅzeyini áizin
CUMULATIVE_WITHDRAWALS_YUAN,KÅmÅlatif áekme yuan
CUMULATIVE_RECHARGE_USD,KÅmÅlatif ?arj USD
CONFIRM_THE_TRANSACTION_PASSWO,Fon Parola Do?rulama:
SMS_INTERFACE_SECURITY_CODE,SMS ArayÅz GÅvenlik Kodu
USERS_TO_BUY_USED,Kullan?c?lar kullan?lan sat?n iáin
HONG_KONG_AND_MACAO_RESIDENTS_,Hong Kong ve Macao sakinleri izin
AS_TIME,Zaman olarak
REGISTRATION_IS_DEEMED_TO_AGRE,Kabul ediyorum
DAILY_LIMIT_PER_ACCOUNT,Hesap ba??na gÅnlÅk limiti
NOT_VERIFIED,Do?rulanmad?
THE_MAXIMUM_PURCHASE_LIMIT,Maksimum sat?n alma limiti
IT_SHOWS_THE_CUMULATIVE_TURNOV,Bu Toplam ciro gîsterir
ADD_A_NEW_ADDRESS,yeni bir adres ekleyin
THE_GREATER_THE_VALUE_THE_MORE,daha ileri daha bÅyÅk bir de?er
ALIPAY_REMITTANCE,Alipay havale
ALIPAY_RECHARGE_INFORMATION,Alipay yeniden yÅkleme bilgileri
ALIPAY_ACCOUNT_WITHDRAWALS,Alipay hesab? para áekme
USD_FREEZE_WITHDRAWALS,ABD Dolar? donma áekme
YOUR_WALLET_ADDRESS_IS,CÅzdan?n adresidir
YOU_HAVE_SUCCESSFULLY_UPLOADED,Ba?ar?yla yÅkledik
HELLO_AND_WELCOME_TO,ve Merhaba ho? geldiniz
QUICK_SHARE_TO_THE_COMMUNITY,Sosyal medya
CURRENT_PHONE_NUMBER,GÅncel telefon numaras?:
UPGRADE_TO_RECOMMEND,tavsiye yÅkseltme
ADVERTISING_COUNTDOWN_TIME,Reklam geri say?m zaman?
MARKET_MARKET_NAME_LIST,Market isim listesi
IT_HAS_BEEN_VERIFIED,KYC Tamamland?
HEAD_ADMINISTRATOR_MENU,Ba? Yînetici menÅsÅ
GREATER_THAN_THIS_LEVEL_AVAILA,Mevcut bu seviyede BÅyÅktÅr
ADDITIONAL_BUSINESSES_PACKET,Ek i?letmeler paket
AND_THEN_TO_PARTICIPATE_IN_SWE,Ve sonra áekili?lere kat?lmak iáin
PERMIT_FOR_TAIWAN_RESIDENTS,Tayvan sakinleri iáin ?zin
TWOFACTOR_AUTHENTICATION_PASSW,?ki faktîrlÅ kimlik do?rulama ?ifresi:
VERIFY_THE_LOCATION_OF_THE_ORI,Orijinal gÅvenlik konumunu do?rulay?n
SHARE_TO_SINA_WEIBO,Sina Weibo iáin pay
GET_A_FREE_VERIFICATION_CODE,Åcretsiz do?rulama kodu al?n
ELEMENTS_IT_MAY_BE,"Elemanlar, bu olabilir"
SO_THAT_FORM_ELEMENTS,form elemanlar? Yani
ARE_YOU_SURE_YOU_RECHARGE_IT,E?er yeniden ?arj de emin misin?
TODAY_LIMITS,BugÅn S?n?rlar?:
TODAY_LIMIT_PRICE,BugÅn s?n?r? Fiyat?:
TODAY_LIMIT_INCREASE,BugÅn limiti art???:
TODAY_THE_DAILY_LIMIT_PRICE,BugÅn gÅnlÅk s?n?r de?eri:
USD_WITHDRAWALS_RECORD,ABD Dolar? para áekme rekoru
USD_WITHDRAWALS_INTERFACE,ABD Dolar? para áekme ArayÅz
USD_RECHARGE_RECORD,ABD Dolar? ?arj? rekor
PLEASE_ENTER_TRANSACTION_PASSW_CAN_NOT_BE_SAME,??lem passsword giri? ?ifresi ile ayn? olamaz
PRODUCT_INTRODUCTION,ÅrÅn tan?t?m?
USD_RECHARGE_MODE,ABD Dolar? ?arj modu
USD_RECHARGE_INTERFACE,ABD Dolar? ?arj ArayÅz
PROFESSIONAL_SECURITY,Profesyonel gÅvenlik
CLOSE_BUTTON_DOES_NOT_SHOW,Kapat dÅ?mesi gîrÅnmÅyor
THAI_LANGUAGE,Tayland
MANAGED_IMMEDIATELY,hemen Yînetilen
ACTUAL_TRADING_RISK,"E?er sofistike ticaret seáeneklerini kullanmak îzellikle esnaf yapan, riskli olabilir."
HERE_IS_WALLET,??te cÅzdan adresidir DÅzeltme formuna
_SAFER_AND_MORE_AT_EASE,", Daha GÅvenli ve daha rahat!"
CLICK_ADD_PICTURE,Resim Ekle t?klay?n
PLEASE_ENTER_VERIFICATION_CODE,Kodu girin
ADDING_DATA_OBJECT,Veri Nesnesi Ekleme
PLEASE_ENTER_PHONE_NUMBER,Telefon numaras?n? girin
ICO_TYPE_OF_CURRENCY,para ICO tipi
SEC_CAN_BE_SENT_AGAIN,sn tekrar gîndermek iáin
SMS_VERIFICATION_CODE,SMS do?rulama kodu:
USER'S_REAL_NAME,Kullan?c? geráek ismi
DOCKING_WALLET_USE,Yerle?tirme cÅzdan kullan?m?
ROLLOUT_OF_DIGITAL_ASSETS,Paralar? geri áek
PLEASE_FILL_IN_THE_VERIFICATIO,Captcha girin
GET_VERIFICATION_CODE,#VALUE!
RETRIEVE_PASSWORD,Parola Al
HIGHLIGHT_THE_TOP_MENU,öst menÅyÅ vurgulay?n
CONFIRM_PASSWORD_ERROR,Onayla ?ifre hatas?
THE_MINIMUM_WITHDRAWAL_AMOUNT,Minimum para áekme
THE_MAXIMUM_AMOUNT_OF_WITHDRAW,Maksimum áekme miktar?
CLICK_RESEND,t?klay?n tekrar gînder
ADD_AN_ADDRESS,adres Ekle
LOCAL_FILE_COMPARISON,Yerel dosya kar??la?t?rma
RETRIEVE_TRANSACTION_PASSWORD,Fon Parola Al
MARKET_TRANSACTIONS_REPORT,Piyasa ??lemleri Raporu
CAPTCHA,Captcha:
RESET_TRANSACTION_PASSWORD,Fon Parola S?f?rlama
ROLLOUT_ADDRESS_MANAGEMENT,Äekilme adresleri
SET_TRANSACTION_PASSWORD,Set Fonu ?ifre
REMOVE_DETERMINED_IN_ADVANCE,ônceden belirlenen Kald?r
